"module";"in-edges";"out-edges"
"f2pytests.test_common_0_0.f";"4";"1"
"distutilsfcompiler.lahey_0_0.f";"8";"0"
"om_typing._array_like_0_0.f";"24";"55"
"liblinalg.linalg_0_0.f";"3";"0"
"omfft.__init___0_0.f";"2";"3"
"omtests.test_warnings.FindFuncs_0_0.f";"0";"1"
"f2pytests.test_quoted_character_0_0.f";"3";"0"
"pycore.getlimits_0_0.f";"3";"0"
"pycore.f";"3";"0"
"lif2py._isocbind_0_0.f";"2";"0"
"distutilscommand.bdist_rpm_0_0.f";"4";"2"
"distutilscommand.install_headers_0_0.f";"8";"7"
"distutilstests.test_fcompiler_nagfor_0_0.f";"3";"1"
"pycore.numerictypes_0_0.f";"3";"0"
"f2py_backends.__init___0_0.f";"1";"0"
"lif2py.auxfuncs.F2PYError_0_0.f";"0";"1"
"typingtests.einsumfunc_0_0.f";"4";"4"
"tedistutils.f";"2";"0"
"_csv_0_0.f";"0";"3"
"pycore.einsumfunc_0_0.f";"3";"0"
"liblinalg.__init___0_0.f";"2";"2"
"lib_core.test_arraymethod_0_0.f";"17";"5"
"omlib.introspect_0_0.f";"8";"6"
"pycore._internal_0_0.f";"4";"1"
"lib_core._string_helpers_0_0.f";"10";"12"
"pycore.records_0_0.f";"3";"0"
"numpy.version_0_0.f";"4";"6"
"urllib.error_0_0.f";"0";"1"
"pycore.numeric_0_0.f";"4";"1"
"hashlib_0_0.f";"0";"1"
"omlib._array_utils_impl_0_0.f";"3";"12"
"numpytyping.__init___0_0.f";"1";"2"
"pycore.umath_0_0.f";"3";"0"
"f2pytests.__init___0_0.f";"1";"0"
"om_typing.__init___0_0.f";"4";"4"
"typingtests.numerictypes_0_0.f";"2";"0"
"omtests.test__all___0_0.f";"3";"0"
"lif2py.__main___0_0.f";"1";"0"
"lib_core.test_multiarray.Raiser_0_0.f";"0";"1"
"om_typing._dtype_like_0_0.f";"19";"118"
"typingtests.warnings_and_errors_0_0.f";"1";"0"
"pycore._utils_0_0.f";"1";"4"
"distutilscommand.develop_0_0.f";"3";"0"
"inspect_0_0.f";"0";"2"
"typingtests.ma_0_0.f";"1";"0"
